Algorithm,RMSE,Ticker
KNN,0.8563217325220237,CSAN3
MLP,0.44795688276745255,CSAN3
Random Forest,0.8834600864967919,CSAN3
AdaBoost,1.364004262806604,CSAN3
Gradient Boosting,0.8987214652160437,CSAN3
Decision Tree,3.4507803883630417,CSMG3
KNN,3.3663504211587445,CSMG3
MLP,3.2542605020290076,CSMG3
Random Forest,3.4163341279588413,CSMG3
AdaBoost,3.2341114156165562,CSMG3
Gradient Boosting,3.4009148579228707,CSMG3
Decision Tree,1.5728694220896728,CURY3
KNN,1.4861672103920331,CURY3
MLP,1.5679593816162547,CURY3
Random Forest,1.5209906755674918,CURY3
AdaBoost,1.5251363835934242,CURY3
Gradient Boosting,1.529704740524823,CURY3
Decision Tree,1.732722445489383,CYRE3
KNN,1.6970405407131148,CYRE3
MLP,1.6519169204807103,CYRE3
Random Forest,1.6904402437245936,CYRE3
AdaBoost,1.6932437492562495,CYRE3
Gradient Boosting,1.6350383282781698,CYRE3
Decision Tree,0.8656692845373822,DIRR3
KNN,0.623089138631279,DIRR3
MLP,1.301590053823328,DIRR3
Random Forest,0.7461292754423712,DIRR3
AdaBoost,0.7718847425692765,DIRR3
Gradient Boosting,0.7514833330922119,DIRR3
Decision Tree,0.9080215979173856,ELET3
KNN,0.8489383612605342,ELET3
MLP,0.7947738834396402,ELET3
Random Forest,0.8919631762080407,ELET3
AdaBoost,0.8002520330503046,ELET3
Gradient Boosting,0.8267763296328065,ELET3
Decision Tree,5.647691097313313,ELET6
KNN,5.634644981819134,ELET6
MLP,5.724087228660801,ELET6
Random Forest,5.628578959558739,ELET6
AdaBoost,5.664193163283404,ELET6
Gradient Boosting,5.645360406778042,ELET6
Decision Tree,4.8291806061427,ELMD3
KNN,4.887147107999017,ELMD3
MLP,3.154427490787417,ELMD3
Random Forest,4.817785500416955,ELMD3
AdaBoost,5.103659407249739,ELMD3
Gradient Boosting,4.8970329491431155,ELMD3
Decision Tree,5.230113259492553,ENEV3
KNN,5.22515603998131,ENEV3
MLP,5.231121454846945,ENEV3
Random Forest,5.227747761287743,ENEV3
AdaBoost,5.2291991980629415,ENEV3
Gradient Boosting,5.227747465239794,ENEV3
Decision Tree,6.556577485579289,ENGI11
KNN,6.474428142176158,ENGI11
MLP,6.572190811853417,ENGI11
Random Forest,6.4924176340160376,ENGI11
AdaBoost,6.528463810457012,ENGI11
Gradient Boosting,6.519842643816116,ENGI11
Decision Tree,2.525418767297723,EVEN3
KNN,2.526225312659818,EVEN3
MLP,2.5035006754917286,EVEN3
Random Forest,2.531290606798868,EVEN3
AdaBoost,2.5218461612602687,EVEN3
Gradient Boosting,2.524248198765636,EVEN3
Decision Tree,0.502096563980381,EZTC3
KNN,0.4844684205011893,EZTC3
MLP,0.49586867148108227,EZTC3
Random Forest,0.4852417214699977,EZTC3
AdaBoost,0.5273839998798158,EZTC3
Gradient Boosting,0.49345476173697034,EZTC3
Decision Tree,0.386086418434439,FESA4
KNN,0.3954767747331863,FESA4
MLP,0.3795414062119402,FESA4
Random Forest,0.3877956052734107,FESA4
AdaBoost,0.5009622951059077,FESA4
Gradient Boosting,0.38901065638226295,FESA4
Decision Tree,2.4110084288829485,FIQE3
KNN,2.408545632940402,FIQE3
MLP,2.4051293120211548,FIQE3
Random Forest,2.41165672755239,FIQE3
AdaBoost,2.4179272302455415,FIQE3
Gradient Boosting,2.406280056923404,FIQE3
Decision Tree,1.1701823501328263,GFSA3
KNN,1.1756728793001634,GFSA3
MLP,1.275078678330538,GFSA3
Random Forest,1.1734035531131801,GFSA3
AdaBoost,1.4580536996741893,GFSA3
Gradient Boosting,1.235451447452458,GFSA3
Decision Tree,0.3648514873112,GRND3
KNN,0.38756593087061075,GRND3
