Algorithm,RMSE,MAPE,Ticker
MLP,7.632311583257918,0.1335914572346019,B3SA3
Random Forest,7.585145256687952,0.13966922489924208,B3SA3
AdaBoost,7.5853719850048105,0.14506655343659022,B3SA3
Gradient Boosting,7.55770877090036,0.136435729598876,B3SA3
Decision Tree,3.220642840913609,0.2276651299289157,BLAU3
KNN,3.2649457902797003,0.2370043139937594,BLAU3
MLP,3.349997670537747,0.22957418557974824,BLAU3
Random Forest,3.15071822612064,0.21909158973692508,BLAU3
AdaBoost,3.492349801808576,0.23673843888519436,BLAU3
Gradient Boosting,3.231269666935882,0.22070954333514808,BLAU3
Decision Tree,3.8939652159129965,0.33865758408975233,CMIG3
KNN,3.8805935266989207,0.3368159730327186,CMIG3
MLP,3.940366683503803,0.3518414969356659,CMIG3
Random Forest,3.897804108455045,0.33844181964842374,CMIG3
AdaBoost,3.8315841468570695,0.33700404161677694,CMIG3
Gradient Boosting,3.892377711691266,0.33908219875016576,CMIG3
Decision Tree,3.929289135021629,0.09386521929438191,CMIG4
KNN,4.169176093469376,0.09334986641222229,CMIG4
MLP,4.083729288600977,0.09955501377568038,CMIG4
Random Forest,3.94855870509658,0.09102621260928204,CMIG4
AdaBoost,4.011719563273319,0.09072274493250457,CMIG4
Gradient Boosting,3.9533648537381074,0.089377679777998,CMIG4
Decision Tree,11.54462364826433,0.9813845623888205,CPFE3
KNN,11.309372230616278,0.9615444373739275,CPFE3
MLP,11.293802886414351,0.9554174955163631,CPFE3
Random Forest,11.294618392963478,0.9574273883992268,CPFE3
AdaBoost,11.376412009446327,0.9612429328683179,CPFE3
Gradient Boosting,11.355927638309895,0.9612773542188214,CPFE3
Decision Tree,1.3297273412226127,0.1249726530761106,CPLE3
KNN,1.326957806194955,0.11894995346134271,CPLE3
MLP,1.340483960618128,0.11478690797559696,CPLE3
Random Forest,1.309833355558117,0.11898687500671552,CPLE3
AdaBoost,1.3036401008921414,0.11695907215557162,CPLE3
Gradient Boosting,1.3032606965855675,0.1174113298208663,CPLE3
Decision Tree,3.831123791922544,0.10550690553131775,CPLE6
KNN,3.8411696896774163,0.10063449948584385,CPLE6
MLP,3.8205693673140426,0.09256800815375618,CPLE6
Random Forest,3.8034337829056484,0.10036505484180329,CPLE6
AdaBoost,3.8943474024086826,0.10399801051437561,CPLE6
Gradient Boosting,3.8342855817164687,0.09828889631374534,CPLE6
Decision Tree,2.2966110034223117,0.1969114483017337,CSAN3
KNN,2.1929692204895037,0.18142823951303802,CSAN3
MLP,0.9727227274427979,0.06753409220470763,CSAN3
Random Forest,2.017162551169685,0.1677639874569401,CSAN3
AdaBoost,2.2420747158894727,0.18850421122074723,CSAN3
Gradient Boosting,2.120003351765794,0.17674320223111042,CSAN3
Decision Tree,7.827522297426065,0.6574112669086962,CSMG3
KNN,7.712218206098115,0.6523304368264307,CSMG3
MLP,7.695494181343758,0.6565536811313172,CSMG3
Random Forest,7.8987014373830835,0.6626810167251389,CSMG3
AdaBoost,7.5350480734811915,0.6369566774589048,CSMG3
Gradient Boosting,7.920538764688927,0.664871953328819,CSMG3
Decision Tree,4.420684238812801,0.17000307614790902,CURY3
KNN,4.34762859299625,0.1725446174840584,CURY3
MLP,4.212998234141662,0.1665678186749567,CURY3
Random Forest,4.275901217674135,0.1642034927355384,CURY3
AdaBoost,4.152148413062099,0.1576460364128778,CURY3
Gradient Boosting,4.244194052052031,0.16466396062707753,CURY3
Decision Tree,4.6349103337606214,0.2205184941418893,CYRE3
KNN,4.663003026910196,0.2252006153151334,CYRE3
MLP,4.770111830971348,0.22593007368384016,CYRE3
Random Forest,4.700334524933426,0.22674737615487933,CYRE3
AdaBoost,4.781874591440056,0.226380197949371,CYRE3
Gradient Boosting,4.781950058132151,0.22686341179929453,CYRE3
Decision Tree,1.3108127627120514,0.03277033798237105,DIRR3
KNN,1.0038639489803514,0.02705612175866913,DIRR3
MLP,0.7987681393324724,0.020729021444320463,DIRR3
Random Forest,0.8856982588306445,0.02251770461035408,DIRR3
AdaBoost,0.7413331663846862,0.019279490100998237,DIRR3
Gradient Boosting,0.8574252712808521,0.022129199679099622,DIRR3
