Algorithm,RMSE
Random Forest,0.00011282839380544371
AdaBoost,0.00386093856729566
Gradient Boosting,0.00012795363726625315
Decision Tree,0.00016055581615803622
KNN,7.201491989945374e-05
MLP,0.0008373595254847894
Random Forest,0.00010972106002870641
AdaBoost,0.003511556186720352
Gradient Boosting,0.00022604972314436647
Decision Tree,0.00010666648067011315
KNN,0.00014578368201142717
MLP,0.00408683138724599
Random Forest,0.00013410336074365148
AdaBoost,0.004292330482761544
Gradient Boosting,0.00011078652931709041
Decision Tree,0.00010885205630683778
KNN,0.00010039195944881472
MLP,0.0012037510470333062
Random Forest,9.323990910470411e-05
AdaBoost,0.0029879338500972863
Gradient Boosting,0.00010853564703720978
Decision Tree,8.770498679704047e-05
KNN,8.448751419217174e-05
MLP,0.0041093850830754295
Random Forest,8.152285352392378e-05
AdaBoost,0.00438698041468065
Gradient Boosting,8.817112666466791e-05
Decision Tree,4.1749426707017996e-05
KNN,2.674007650399131e-05
MLP,0.0072930395360412
Random Forest,3.8844814311057206e-05
AdaBoost,0.0018555091653040916
Gradient Boosting,4.1568270020682855e-05
Decision Tree,8.23740325054481e-05
KNN,7.1436710387412e-05
MLP,0.0024695873756981515
Random Forest,8.152829107986862e-05
AdaBoost,0.0025866158627901015
Gradient Boosting,8.250250041143034e-05
Decision Tree,0.00032779674721287154
KNN,0.0001412244653662909
MLP,0.008446356082265244
Random Forest,0.00020947759488929097
AdaBoost,0.0036048260477011093
Gradient Boosting,0.00034403759919200797
Decision Tree,0.0002772369349780011
KNN,0.00015485438771713187
MLP,0.0037542831733394207
Random Forest,0.00016992441254859138
AdaBoost,0.0013678670870097731
Gradient Boosting,0.0002773885707781722
Decision Tree,0.00010459529981880738
KNN,4.3661940560743427e-05
MLP,0.0013340892180273092
Random Forest,6.640775838466184e-05
AdaBoost,0.0025267521312389474
Gradient Boosting,0.0001045506861179373
Decision Tree,0.00011409440867244434
KNN,7.170079482476145e-05
MLP,0.003978942819125745
Random Forest,0.00011181710406240109
AdaBoost,0.0015347036381312747
Gradient Boosting,0.00011614844744878183
Decision Tree,0.00016444352372948498
KNN,0.00010335529216095784
MLP,0.002196212966906607
Random Forest,9.93071745379857e-05
AdaBoost,0.0029619835908984353
Gradient Boosting,0.00016448447468535933
Decision Tree,0.0001573712736068969
KNN,9.133349675759674e-05
MLP,0.009028643124813256
Random Forest,9.09969264336675e-05
AdaBoost,0.002215375526025753
Gradient Boosting,0.00015736587820440608
Decision Tree,0.0004069170135366542
KNN,0.00016385393346246823
MLP,0.003774859677100709
Random Forest,0.0002597108497808732
AdaBoost,0.0028295740436685983
Gradient Boosting,0.00040661178366977623
Decision Tree,0.004156088504583565
KNN,0.005109348356323184
MLP,0.004263318086132275
Random Forest,0.004579128985297095
AdaBoost,0.00728803982722449
Gradient Boosting,0.0041564429547283665
Decision Tree,0.00012671177970071838
KNN,8.949043330045288e-05
MLP,0.003820914071271197
Random Forest,0.00010124495647629141
AdaBoost,0.006401174836975808
Gradient Boosting,0.00017788793530041294
Decision Tree,2.9467309431785666e-05
KNN,2.3593436038573513e-05
MLP,0.00120874960423667
Random Forest,2.784986604603557e-05
AdaBoost,0.002146199574850703
Gradient Boosting,2.9655090519840206e-05
Decision Tree,9.864999640320638e-06
KNN,1.061231786988952e-05
MLP,0.0011984258512147215
Random Forest,1.1083380666241695e-05
AdaBoost,0.0018917617904706094
Gradient Boosting,3.419339163918581e-05
Decision Tree,0.0002047997215836458
KNN,0.0002150320550244373
MLP,0.00927121154443768
Random Forest,0.00019594653217716937
AdaBoost,0.001620511803088565
Gradient Boosting,0.0002059371710662585
Decision Tree,7.282758923453718e-05
KNN,7.212201681123388e-05
MLP,0.005249929674279606
Random Forest,7.928843251832995e-05
AdaBoost,0.0017085850553636213
Gradient Boosting,7.361632340730152e-05
Decision Tree,0.0006423047716344678
KNN,0.0007854459206338275
MLP,0.007220282576576049
Random Forest,0.0008021105486709288
AdaBoost,0.0033482943456591857
Gradient Boosting,0.0006422212278093736
Decision Tree,0.00010326502085861886
KNN,6.565169117989291e-05
MLP,0.0008213693885418261
Random Forest,7.241524699954022e-05
AdaBoost,0.0035530467698460765
Gradient Boosting,0.00010362892673079369
Decision Tree,0.0001657076900279698
KNN,0.0002669029680847168
MLP,0.0011037235505811614
Random Forest,0.00038438258980215813
AdaBoost,0.0026079226810776985
Gradient Boosting,0.00016575555278294115
Decision Tree,0.0006809318743687822
KNN,0.0008859131811950142
MLP,0.0032273369057347324
Random Forest,0.0007922468643056995
AdaBoost,0.003110345155253551
Gradient Boosting,0.0006808859249094056
Decision Tree,0.00013960579748542834
KNN,8.232587947138304e-05
MLP,0.007523940161787277
Random Forest,0.00011236811919924748
AdaBoost,0.0033134489768424447
Gradient Boosting,0.00013944326547932206
Decision Tree,8.640949293152216e-05
KNN,6.004917537179453e-05
MLP,0.0005536327977946052
Random Forest,9.235365988042927e-05
AdaBoost,0.003226344743199885
Gradient Boosting,8.641966478989254e-05
Decision Tree,0.00011058272219284783
KNN,6.0896546158423704e-05
MLP,0.0029549721232678345
Random Forest,9.196069782721085e-05
AdaBoost,0.004044394828511397
Gradient Boosting,0.0001098795518266084
Decision Tree,0.003959708270602853
KNN,0.0044696786835448496
MLP,0.0030366645210076313
Random Forest,0.004216149908566998
AdaBoost,0.009053003096162856
Gradient Boosting,0.003959728803278216
Decision Tree,9.416830374195216e-05
KNN,7.094872969158123e-05
MLP,0.0009443807036337536
Random Forest,8.547967173922554e-05
AdaBoost,0.0017928334107958695
Gradient Boosting,9.426344802930565e-05
Decision Tree,0.00022737747926828756
KNN,0.00013237911012720297
MLP,0.008801913465473536
Random Forest,9.563058874500215e-05
AdaBoost,0.002780739229486462
Gradient Boosting,0.00022862822987851773
Decision Tree,0.0004940545352446256
KNN,0.0007120184992628916
MLP,0.0063191853174546396
Random Forest,0.000650079626640738
AdaBoost,0.005138510701765087
Gradient Boosting,0.0004951982439722724
