"papel","descricao_papel","cotacao","PSL","PSVP","PSR","div_yield","PSA","PSCG","PSEBIT","PSACL","EV_EBIT","EV_EBITDA","margem_EBIT","margem_liq","liq_corrente","ROIC","ROE","liq_2meses","PL","div_bruta_PL","taxa_cresc_RL_5anos"
"STBP3","SBPAR",12.88,14.63,4.84,4.005,0.205,1.6,5.51,9.41,-6.26,9.52,7.94,0.4254,0.2737,3.36,0.2702,0.3305,120844000,2301870000,1.11,0.2991
"KSSA3","KLABINSEGALL",5.33,14.66,1.4,0.916,0,0.406,1.72,5.62,6.73,12.3,12.3,0.1631,0.0842,1.47,0.0767,0.0958,0,553026000,1.8,0.4068
"ENMT4","ENERGISA MT",84.9,14.72,4.68,2.334,0.0324,1.315,131.21,9.06,-2.8,11.5,9.98,0.2576,0.1585,1.04,0.1635,0.3181,7112,3968130000,1.49,0.112
"ASAI3","ASSAI",6.94,14.75,1.88,0.13,0,0.214,-3.83,1.82,-0.4,4.26,3.25,0.0715,0.0088,0.86,0.1782,0.1273,169602000,4995000000,3.33,0.4013
"ELUM4","ELUMA",47.9,14.79,1.99,1.251,0,1.178,3.07,19.64,3.34,14.9,14.9,0.0637,0.0846,2.02,0.094,0.1347,0,443231000,0.08,0.084
"LUXM3","TREVISA INVESTIMENTOS SA",10,14.81,1.59,1.579,0,1.167,203.17,11.15,-7.91,11.02,6.26,0.1416,0.1066,1.05,0.1125,0.1076,0,130398000,0.05,0.0523
"TCOC3","TELE CENTRO OESTE CELULAR PARTICIP. S/A",38.85,14.9,1.8,2.225,0,1.307,3.78,14.48,4.39,12.23,12.23,0.1537,0.1493,2.53,0.1398,0.1206,0,2812920000,0.04,0.1671
"TASA3","TAURUS ARMAS",9.28,14.95,0.98,0.718,0.0327,0.506,2.71,9.15,7.41,12.7,9.56,0.0785,0.048,1.51,0.0633,0.0656,142894,1198000000,0.52,-0.0041
"ALOS3","ALLOS",21.08,14.96,0.82,4.191,0.0697,0.386,3.07,9.09,-1.4,4.45,2.98,0.461,0.3202,2.23,0.0531,0.0549,92182700,13944600000,0,0.364
"RDCD3","Redecard",35.16,15.07,14.74,7.936,0,0.925,21.14,13.4,22.7,14.25,14.26,0.5923,0.5265,1.05,0.0697,0.9778,0,1605520000,1.04,0.1216
"CCRO3","COMPANHIA DE CONCESSÕES RODOVIÁRIAS",11.84,15.09,1.77,1.098,0.0352,0.405,3.85,4.1,-0.73,8.52,6.62,0.2677,0.0825,1.98,0.1178,0.1173,108021000,13510200000,2.55,0.2069
"BOAS3","BOA VISTA",7.95,15.22,1.83,4.929,0,1.699,3.34,25.6,3.54,18.69,8.52,0.1925,0.3239,12.37,0.1276,0.1204,0,2298770000,0,0.1099
"TMGC13","TELEMIG CELULAR",966.14,15.31,1.96,1.406,0,1.353,8.18,21.56,14.45,20.23,20.23,0.0652,0.0918,1.69,0.0873,0.1283,0,1167010000,0.05,0.1049
"BEMA3","Bematech",10.8,15.32,1.22,1.293,0,0.808,3.18,14.34,11.45,14.43,8.11,0.0901,0.0844,2.66,0.0696,0.0795,0,457342000,0.19,0.1058
"AZZA3","AZZAS 2154",39.81,15.49,1.05,1.284,0.0073,0.551,2.83,14.38,-19.83,17.34,11.29,0.0893,0.0824,1.78,0.0462,0.0675,73951500,7865410000,0.31,0.4431
"PTNT3","PETTENATI",8.84,15.5,1.06,0.543,0.0306,0.411,1.08,16.24,7.41,20.26,8.84,0.0334,0.053,2.84,0.0398,0.0685,7341,400258000,1.02,0.0935
"VTRU3","VITRUEDUCA",8,15.5,0.45,0.506,0,0.179,3.95,1.44,-0.39,3.94,3.05,0.3517,0.0327,1.43,0.1386,0.0292,1602450,2370060000,1.01,0.1254
