"papel","descricao_papel","cotacao","PSL","PSVP","PSR","div_yield","PSA","PSCG","PSEBIT","PSACL","EV_EBIT","EV_EBITDA","margem_EBIT","margem_liq","liq_corrente","ROIC","ROE","liq_2meses","PL","div_bruta_PL","taxa_cresc_RL_5anos"
"ODER4","CONSERVAS ODERICH SA",100,38.72,2.13,1.682,0.0133,1.131,2.31,26.28,4.14,28.76,20.65,0.064,0.0434,2.93,0.0529,0.055,0,529795000,0.41,0.0975
"CRIV3","ALFA FINANCEIRA",6.98,39.11,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0.0174,0,1058750000,0,-0.001
"RHDS3","M G POLIEST",0.11,39.98,3.24,0.548,0,0.79,-65.29,7.49,-2.7,10.7,8.06,0.0731,0.0117,0.97,0.118,0.0812,0,272045000,1.49,0.0438
"RADL3","RAIADROGASIL",26.02,40.26,7.09,1.186,0.014,2.036,12.44,19.39,-16.26,20.63,11.58,0.0612,0.0302,1.39,0.1456,0.1762,161876000,6302640000,0.52,0.1839
"LAND3","TERRASANTAPA",11.3,40.71,1.49,15.244,0.0077,1.173,-31.49,30.11,-6.31,32.38,29.5,0.5063,0.3744,0.44,0.0394,0.0367,578396,727517000,0.13,-0.2229
"RAIA3","RAIA",30.5,41.22,2.98,0.897,0,1.777,4.31,18.18,5.06,16.73,16.73,0.0493,0.0218,2.2,0.178,0.0722,0,635785000,0.12,0
"IMCH3","IMC HOLDINGS",6.39,41.83,0.59,0.336,0,0.289,-9.49,12.28,-0.78,21.16,6.62,0.0273,0.008,0.82,0.0255,0.014,0,920589000,0.51,0.2104
"PTQS4","PETROQUISA",189.46,43.43,2.19,4.717,0,1.577,9.89,-7214.41,-35.73,-7466.35,-7466.35,-0.0007,0.1137,3.32,-0.0002,0.0504,0,1714950000,0.24,0.5613
"UOLL4","UOL",19.62,43.52,2.35,2.054,0,1.403,457.14,15.14,-12.83,16.49,16.49,0.1356,0.0469,1.01,0.1057,0.054,0,1003690000,0.23,0.2199
"FRIO3","Metalfrio",145.5,47.66,2.69,0.434,0,0.498,5.56,9.56,-5.75,15.91,9.31,0.0454,0.0116,1.15,0.0759,0.0564,1017920,340187000,2.21,0.0834
"MNPR3","MINUPAR",21.76,47.71,-0.48,0.46,0,0.44,-0.4,3.48,-0.32,3.48,2.9,0.1321,0.0097,0.34,0.135,-0.0101,50538.3,-319189000,0,0.088
"PLTO6","POLITENO IND E COMERCIO S.A.",10.47,50.81,692616,0.69,0,0.901,2.9,55.05,-1.55,56.35,56.35,0.0125,0.0136,3.87,0.0174,13632,0,1000,21227,0.0878
"SULA11","Sul America",22.25,52.23,1.13,0.432,0.0027,0.314,0.85,-13.07,-4.6,6.62,8.51,-0.033,0.0083,2.29,-0.0562,0.0217,0,8363840000,0.37,0.0166
"SULA3","Sul America",7.43,52.32,1.13,0.433,0.0027,0.314,0.85,-13.09,-4.61,6.59,8.48,-0.033,0.0083,2.29,-0.0562,0.0217,0,8363840000,0.37,0.0166
"PLTO5","POLITENO IND E COMERCIO S.A.",10.94,53.09,723708,0.721,0,0.942,3.03,57.52,-1.62,58.82,58.82,0.0125,0.0136,3.87,0.0174,13632,0,1000,21227,0.0878
"FFTL3","FOSFERTIL",25,53.22,2.26,3.41,0,1.508,23.71,20.9,-15.54,20.55,20.55,0.1632,0.0816,1.37,0.0891,0.0424,0,6274030000,0.07,0.0779
"FFTL4","FOSFERTIL",25.06,53.34,2.26,3.418,0,1.512,23.77,20.95,-15.58,20.6,20.6,0.1632,0.0816,1.37,0.0891,0.0424,0,6274030000,0.07,0.0779
"SULA4","Sul America",7.63,53.73,1.17,0.444,0.0026,0.323,0.88,-13.45,-4.73,6.24,8.02,-0.033,0.0083,2.29,-0.0562,0.0217,0,8363840000,0.37,0.0166
"BSEV3","BIOSEV",9,56.31,-10.76,0.889,0,0.776,-1.59,4.4,-1.02,7.59,3.7,0.2019,0.0158,0.39,0.2066,-0.1912,0,-853187000,-8.95,0.0712
"CEGR3","CEG",70,57.32,11.99,6.769,0.0215,3.835,-1376.55,33.91,-9.63,35.15,27.31,0.1996,0.1181,0.99,0.1431,0.2093,1139.53,1515350000,0.79,-0.0283
"GVTT3","GVT HOLDING",57.7,57.38,3.68,4.312,0,2.268,21.82,25.92,-18.43,26.65,26.65,0.1664,0.0752,1.66,0.1032,0.0642,0,2150790000,0.24,0.3147
"CSAB3","COMPANHIA DE SEGUROS ALIANÇA DA BAHIA",30.5,58.43,1.11,312.32,0,0.566,0,18.86,0,0,0,16.5627,5.3453,0,0,0.0189,0,211654000,0,-0.1783
"AEDU3","ANHANGUERA EDUCACIONAL PARTICIPAÇÕES SA",18.35,59.34,3.32,4.141,0,2.159,17,41.06,-21.55,43.27,29.01,0.1008,0.0698,2.04,0.0577,0.056,0,2415400000,0.3,0.209
"HETA3","HERCULES S/A",96,60.97,-0.14,11.769,0,3.356,-63.5,13.18,-0.14,100.55,100.55,0.893,0.193,0.84,0.2549,-0.0023,0,-351178000,-0.92,0.3109
"SUBA3","",84,61.95,8.39,8.067,0,6.778,8.03,115.78,8.09,106.17,106.17,0.0697,0.1302,5.55,0.1911,0.1354,0,530396000,0,0
"CASN3","CASAN",10.45,65.2,5.49,6.462,0.001,2.373,-203.84,26.19,-5.54,30.39,21.26,0.2467,0.0991,0.92,0.095,0.0843,0,2188540000,0.95,0.0863
"BRIV4","ALFA DE INVESTIMENTO",12.54,70.08,0.66,0,0.0261,0,0,0,0,0,0,0,0,0,0,0.0095,0,1671490000,0,-0.4472
"MRFG3","Marfrig",18.2,70.44,3,0.115,0,0.12,1.6,3.16,-0.28,10.74,4.53,0.0365,0.0093,1.23,0.0527,0.0425,94972100,5383430000,10.88,0.2361
"DAGB33","DUFRY AG",375,71.75,1.6,0.64,0,0.51,15.24,11.87,-1.27,19.35,30.65,0.0539,0.0167,1.17,0.0496,0.0224,0,12597300000,1.18,0.3208
"BRIV3","ALFA DE INVESTIMENTO",12.86,71.86,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0.0095,0,1671490000,0,-0.4472
"CTPC3","CTM CITRUS SA",0.2,76.36,1.08,0,0,0.097,0,-16.86,0,-18.75,-18.75,0,0,0,0,0.0141,0,2411000,0,-0.061
"RLOG3","COSAN LOG",23.08,82.76,4.26,1.534,0,0.229,1.49,5.32,-0.5,12.43,6.68,0.2885,0.0707,2.64,0.0536,0.0515,0,2507240000,9.08,0.0876
"CSAB4","COMPANHIA DE SEGUROS ALIANÇA DA BAHIA",48.97,93.81,1.78,501.453,0,0.909,0,30.28,0,0,0,16.5627,5.3453,0,0,0.0189,0,211654000,0,-0.1783
"MNDL3","MUNDIAL S/A",17.3,98.98,1.09,0.184,0,0.121,-1.18,1.58,-0.25,5.87,5.13,0.117,0.0019,0.79,0.0829,0.0111,16728.2,156921000,3,0.1618
"HGTX3","CIA HERING",37.5,101.99,3.57,4.178,0,2.48,7.5,105.87,9.93,106.77,42.5,0.0395,0.041,2.47,0.03,0.0351,0,1704940000,0.12,-0.0462
"PQUN4","PETROQUIMICA UNIAO S.A.",15.44,104.31,1.88,0.545,0,0.523,7.57,19.5,-0.97,40.25,40.25,0.028,0.0052,1.61,0.0302,0.0181,0,858692000,2.28,0.0519
"PQUN3","PETROQUIMICA UNIAO S.A.",15.44,104.31,1.88,0.545,0,0.523,7.57,19.5,-0.97,40.25,40.25,0.028,0.0052,1.61,0.0302,0.0181,0,858692000,2.28,0.0519
"TMAR6","TELEMAR",42.01,112.59,0.71,0.519,0,0.181,1.49,4.04,-0.5,8.29,3.21,0.1284,-0.0042,1.62,0.0578,0.0063,0,20448500000,1.38,0.148
"TMAR5","TELEMAR",42.67,114.35,0.72,0.527,0,0.184,1.51,4.1,-0.51,8.35,3.24,0.1284,-0.0042,1.62,0.0578,0.0063,0,20448500000,1.38,0.148
"NETC3","NET SERVIÇOS DE COMUNICAÇÃO S.A.",38.5,123.1,2.12,1.29,0,1.074,-33.02,10.82,-2.96,12.15,5.27,0.1193,0.0155,0.8,0.1095,0.0172,0,6812390000,0.28,0.6663
"MLFT4","IGUATEMI S.A",22.39,124.51,11.05,39.371,0,5.635,37.49,72.81,-22.49,75.75,58.99,0.5408,0.3166,2.69,0.0957,0.0887,0,4263750000,0.82,0.1618
"NETC4","NET SERVIÇOS DE COMUNICAÇÃO S.A.",40,127.89,2.2,1.34,0,1.116,-34.31,11.24,-3.08,12.57,5.45,0.1193,0.0155,0.8,0.1095,0.0172,0,6812390000,0.28,0.6663
"ROMI4","ROMI",185,140.18,14.37,14.921,0,7.168,24.27,241.27,69.5,248.15,137.13,0.0618,0.1075,1.96,0.0352,0.1025,0,1199630000,0.61,0.0711
"CEPE5","CELPE",40.12,142.54,1.87,0.365,0,0.223,-10.25,2.52,-0.34,9.24,6.79,0.1451,0.0026,0.91,0.0952,0.0131,0,1597000000,5.19,0.3854
"CEPE6","CELPE",43,152.78,2.01,0.391,0,0.239,-10.99,2.7,-0.37,9.42,6.92,0.1451,0.0026,0.91,0.0952,0.0131,0,1597000000,5.19,0.3854
"TMAR3","TELEMAR",62,166.16,1.04,0.765,0,0.268,2.2,5.96,-0.74,10.21,3.96,0.1284,-0.0042,1.62,0.0578,0.0063,0,20448500000,1.38,0.148
"LWSA3","LOCAWEB",4.17,171.64,0.84,1.736,0.0182,0.588,8.75,20.51,17.7,17.11,8.12,0.0846,0.0101,1.25,0.0327,0.0049,25016700,2800760000,0.03,0.3196
"BIDI3","BANCO INTER",3.4,225.51,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0.0047,0,8348550000,0,0.37
"BIDI4","BANCO INTER",3.41,226.17,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0.0047,0,8348550000,0,0.37
"BIDI11","BANCO INTER",10.4,229.93,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0.0047,0,8348550000,0,0.37
